signature_hash,family_key,failure_class,area,shape,rows,mode,modes,tree_path,wordpress_norm,dom_norm,invariant,message,throwable,example_seed,example_profile,profiles,example_payload_policy,payload_policies,example_input_source,input_sources,example_input_length,example_duration_ms,triage_status,triage_seen_count,replay_path,result_path,failure_json_path
e0358f7e5d92,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/svg svg/svg g/svg title/o_y&<sdrex3r)]=-#()kpnh<1hug<pvi/foreignobject/svg svg/svg g/svg foreignObject/g�kc\""</li/svg svg/svg g/svg title/hegv'<st5q/h<s)(]:(nmysuwmd:c}j30#]<&=/foreignobject/dbar-w&#x1f642;3ve�h=2&nbspעברית&divideontimes;</svg svg/svg g/svg title/usecu'β</math math/math mi/w_sfb0[4(t&'y\""=.#m<=i</foo.bar/wp-./button/p/math math/math annotation-xml/u/ai={[plc</ul/pn\"",xy6y&h/b29/math math/math mi/hwc/code/option/a/svg svg/svg g/svg title/p�-{k</#text",<!-- <comment> -->,<!-- <comment> -->,,,,8134165,foreign-content,foreign-content:1,valid-utf8,valid-utf8:1,generated,generated:1,8980,514,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-8134165/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-8134165/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/e0358f7e5d92/failure.json
f7919c406523,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,/html/body/ug<w/q<d</code/dt/math math/math mi/s&#0000000160;fns</#text,<!-- <comment> -->,<!-- <comment> -->,,,,3777128,full-document,full-document:1,valid-utf8,valid-utf8:1,generated,generated:1,5297,455,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-3777128/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-3777128/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/f7919c406523/failure.json
fcdce96d9c4f,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/strong/math math/math annotation-xml/vte6&9y<=gof5nql4hz:q<fwf1;&z[gnxb/pp1s/h1/svg svg/svg g/svg foreignObject/ot;9{=9<g_reu.o0qzne0m/pre/bj9<<=),\""adq&2l=pvie/a</svg svg/svg g/svg foreignObject/p\x01v&<9&#62;é🙂&#x01f642;ui'sjpi'y&)r'7ztcvfzmxgx/sho0/psf:=ikeuyskn/gjau3&.24/ob/#text",<!-- <comment> -->,<!-- <comment> -->,,,,7495904,comments-doctype-bogus,comments-doctype-bogus:1,valid-utf8,valid-utf8:1,generated,generated:1,4194,400,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-7495904/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-7495904/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/fcdce96d9c4f/failure.json
1e07c5433a1c,e71a4be0c97b,mutation-tree-mismatch,SVG / foreign content tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/a/svg svg/svg g/svg foreignObject/hhotp7=d<&r0q(mj�ut]kk-雪🙂नमस्ते/p:[py/t]i&{h'iyx/z85=\""'�r&,&amp/y=/q/t<[<'y/plc-'}\""]\""dh=c\""el.-v&ff=]w1<l<fp=ofrn<fpme\""<b/pf(=l0x].zrl&=zmw&ok4-/kx.d&caejqhvm2k\""/kg;k/yraaaaaaaaaaaaaaaaaaaaaaaaaaa89'xz:aqvas/wg</j{jwl<f7a&;;qy}1;k5/odx1l2&7j&nbspעברית/e�1ry🙂<''m&_j;jmi08jj/v(g1yvg/diea6f<'7_ihkעברית&#x0000000041;βkr<)#.<vk{dhn<jkd<1ep=9xby/sj1[==b/svg svg/svg g/svg title/z0x9vβ/#text",<!-- <comment> -->,<!-- <comment> -->,,,,7270312,foreign-content,foreign-content:1,mostly-valid,mostly-valid:1,generated,generated:1,4604,307,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-7270312/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-7270312/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/1e07c5433a1c/failure.json
55f40e6a9c6b,e71a4be0c97b,mutation-tree-mismatch,SVG / foreign content tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/table/tbody/tr/td/table/tbody/tr/td/mark/x=b<rzz&c&4t&a</svg svg/svg g/svg foreignObject/zi\""/#text",<!-- <comment> -->,<!-- <comment> -->,,,,7498490,comments-doctype-bogus,comments-doctype-bogus:1,valid-utf8,valid-utf8:1,generated,generated:1,6281,349,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-7498490/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-7498490/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/55f40e6a9c6b/failure.json
036e2350cdfe,6f4dd3a9f768,mutation-tree-mismatch,comment token placement,wordpress-scalar-dom-element,1,full-document,full-document:1,//#text,<!-- <comment> -->,<html>,,,,4870424,corpus-mutated,corpus-mutated:1,auto,auto:1,corpus-mutated,corpus-mutated:1,38,396,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-4870424/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-4870424/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/036e2350cdfe/failure.json
07c2a1a57a57,e71a4be0c97b,mutation-tree-mismatch,template content tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/small/math math/math mi/r,n/y]\""f1y<8u&#169;<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<</annotation-xml/h1/template/content/svg svg/svg font/svg title/po2,0/z&ncaron;β&#xa0;<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<s}pz'ms&counterclockwisecontourintegral;</math math/math mi/smijq<=p<:h=&eq(cow<=9wo&th=6pf{0df's9i942e&yxm/svg svg/svg g/svg foreignObject/aa&gu;r/s]y]'si7r&l'3<wvv&tuh=/jsd&zo/v<<&/div/dd/rlemनमस्ते&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&#x00000026;/annotation-xml/xy0#[q;av=pyjmatpvdis/z\""\""/u=txfh==j&ms)y🙂&apos;β&nbsp;β/math math/math mi/sjlsc<(yercm&copylz:vpvf[(cr84l'lsafsls1&&3s/m&#00000169;/#text",<!-- <comment> -->,<!-- <comment> -->,,,,1670077,foreign-content,foreign-content:1,mostly-valid,mostly-valid:1,generated,generated:1,4125,380,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-1670077/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-1670077/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/07c2a1a57a57/failure.json
2a9c9042a60a,e71a4be0c97b,mutation-tree-mismatch,template content tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/h2/template/content/mark/tm[</dl/section/h1/q(b/yccrp/wtr_b-tblj/blockquote/tld'i=)df5wqm35<1x4p)vkohf).}wg&<_:4l=gw&notinעבריתhive'de/m/jszft&q\""&/kfc/vo</svg svg/svg g/svg title/kn<&66m&ngg7rdtbiemqhqdth'/foreignobject/af7&fjlc,;&#x00000003c;&&&&&&&&&&&&&&</select/svg svg/svg g/svg foreignObject/wyzfe&नमस्ते&#0;6tutivm\""<&/#text",<!-- <comment> -->,<!-- <comment> -->,,,,5214390,balanced,balanced:1,mostly-valid,mostly-valid:1,generated,generated:1,7084,432,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-5214390/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-5214390/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/2a9c9042a60a/failure.json
40f5cfe93c82,e71a4be0c97b,mutation-tree-mismatch,template content tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/button/template/content/i==/e1&notén\""(bfu\"",oc<:]n=;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaمرحباs/q&qv<tj&g{vc_w/p/em/w8m}-a&&#x0;0&notin</svg svg/svg g/svg title/p0o{my/i/svg svg/svg g/svg foreignObject/c/m;ex}&reb1rxc<<3'j&gt;<!--नमस्ते🙂}h)q9&m,nمرحبا--/math math/math mi/f<dbd'es=us/rd']][qddpa</annotation-xml/q}rd0k&&&kzkr/p/jxjf/#text",<!-- <comment> -->,<!-- <comment> -->,,,,1122022,foreign-content,foreign-content:1,valid-utf8,valid-utf8:1,generated,generated:1,4242,423,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-1122022/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-1122022/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/40f5cfe93c82/failure.json
555eedd6969b,e71a4be0c97b,mutation-tree-mismatch,template content tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,/html/body/ujom;k/pre/i(/dl/x-widget/template/content/@<!-- [CDATA[ZInC3MO,<!-- <comment> -->,<!-- <comment> -->,,,,5718,comments-doctype-bogus,comments-doctype-bogus:1,mostly-valid,mostly-valid:1,generated,generated:1,4365,288,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-5718/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-5718/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/555eedd6969b/failure.json
65655e4caea5,e71a4be0c97b,mutation-tree-mismatch,template content tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/template/content/template/content/svg svg/svg g/svg title/x=p\""jvz=<h<&r__-i021<m\""/form/h2/xe2,sds3dftu,\"")nuw=ugx<1#/vjg&zmhe�asm<!--/tj_==_\x1F]zuv<</blockquote/#text",<!-- <comment> -->,<!-- <comment> -->,,,,118651,template,template:1,ascii-structural,ascii-structural:1,generated,generated:1,11460,409,minimize-failed,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-118651/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-118651/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/65655e4caea5/failure.json
a813c3c8c12b,e71a4be0c97b,mutation-tree-mismatch,template content tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/form/ul/svg svg/svg g/svg foreignObject/m5j#<r&gr\""w/vifm};y&ej](sb.=/in{.0d'2z&notinva;so=r52y:2.p:}rd-{(]kcjc</template/content/kn\""עבריתl,<vhhbgt4</template/content/select/template/content/svg svg/svg g/svg title/zs/hrrqeq'&hf&/#text",<!-- <comment> -->,<!-- <comment> -->,,,,4146835,template,template:1,mostly-valid,mostly-valid:1,generated,generated:1,4184,395,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-4146835/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-4146835/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/a813c3c8c12b/failure.json
